Name,Role,Page
deepika,student,start_game
deepika,student,show_puzzles
deep,student,start_game
deep,student,show_puzzles
deep,student,puzzle1
deep,student,puzzle2
deep,student,puzzle3
deep,student,puzzle4
deep,student,puzzle5
deep,student,final
deep,student,start_game
deep,student,show_puzzles
deep,student,puzzle1
deep,student,puzzle2
deep,student,puzzle2
deep,student,puzzle2
deep,student,puzzle3
deep,student,puzzle4
deep,student,puzzle5
deep,student,final
deep,student,puzzle1
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle4
deepika,student,puzzle4
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle4
deepika,student,puzzle4
deepika,student,puzzle4
deepika,student,puzzle3
deepika,student,puzzle4
deepika,student,puzzle5
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,puzzle4
deepika,student,puzzle5
deep,teacher,start_game
deep,teacher,show_puzzles
deep,teacher,puzzle1
deep,teacher,puzzle2
deep,teacher,puzzle3
deep,teacher,puzzle4
deep,teacher,puzzle5
deep,teacher,final
Sureeksha,student,start_game
Sureeksha,student,show_puzzles
Sureeksha,student,puzzle1
Sureeksha,student,puzzle1
Sureeksha,student,puzzle2
Sureeksha,student,puzzle3
Sureeksha,student,puzzle4
Sureeksha,student,puzzle5
Sureeksha,student,final
akshansh,student,start_game
akshansh,student,show_puzzles
akshansh,student,puzzle1
akshansh,student,puzzle2
akshansh,student,puzzle3
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,puzzle4
Deepika Yadav,student,start_game
Deepika Yadav,student,show_puzzles
Deepika Yadav,student,puzzle3
Deepika Yadav,student,puzzle5
Deepika Yadav,student,final
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,puzzle5
deepika,student,final
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,puzzle5
deepika,student,final
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle3
deepika,student,puzzle5
deepika,student,final
deepika,student,final
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle1
deepika,student,puzzle1
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,puzzle5
deepika,student,final
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle3
deepika,student,puzzle4
deepika,student,puzzle4
deepika,student,puzzle5
deepika,student,final
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,show_puzzles
deepika,student,show_puzzles
deepika,student,show_puzzles
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle2
deepika,student,puzzle3
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle3
deepika,student,puzzle4
deepika,student,puzzle5
deepika,student,final
alekh,student,start_game
alekh,student,show_puzzles
alekh,student,puzzle1
alekh,student,puzzle2
alekh,student,puzzle3
alekh,student,puzzle4
alekh,student,puzzle5
alekh,student,final
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,start_game
deepika,student,show_puzzles
deepika,student,puzzle1
deepika,student,puzzle1
deepika,student,puzzle1
